"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2024 SJ1)","2024-Oct-01 06:47 ± < 00:01","0.03890","0.03852","10.63","10.63","26.7","12 m -   27 m","0"
"(2024 RN15)","2024-Oct-01 15:27 ± < 00:01","0.02145","0.02143","7.21","7.19","25.3","23 m -   52 m","0"
"(2024 RH45)","2024-Oct-01 16:54 ± < 00:01","0.01282","0.01280","8.17","8.14","24.9","27 m -   61 m","0"
"(2024 RO2)","2024-Oct-02 06:18 ± < 00:01","0.01075","0.01075","9.19","9.16","24.9","27 m -   61 m","1"
"(2024 RJ16)","2024-Oct-02 14:13 ± < 00:01","0.04651","0.04640","6.93","6.92","25.9","18 m -   40 m","0"
"(2024 SS)","2024-Oct-02 22:45 ± < 00:01","0.01465","0.01460","7.51","7.48","25.8","18 m -   41 m","0"
"(2024 SR4)","2024-Oct-03 10:30 ± < 00:01","0.01794","0.01791","11.62","11.61","26.7","12 m -   27 m","0"
"(2024 SD3)","2024-Oct-03 15:49 ± < 00:01","0.00994","0.00989","18.23","18.22","26.1","16 m -   36 m","0"
"(2024 SR1)","2024-Oct-04 02:03 ± < 00:01","0.01456","0.01445","5.91","5.88","27.3","9.2 m -   21 m","0"
"(2024 SY4)","2024-Oct-04 23:06 ±    00:38","0.02501","0.02486","4.92","4.90","27.8","7.3 m -   16 m","0"
"(2024 RJ32)","2024-Oct-05 03:17 ± < 00:01","0.01960","0.01954","6.58","6.56","24.5","33 m -   75 m","0"
"(2024 SL3)","2024-Oct-05 05:59 ± < 00:01","0.02089","0.02075","12.60","12.59","26.3","15 m -   33 m","0"
"(2023 GM1)","2024-Oct-05 11:35 ±    00:59","0.03946","0.03904","5.20","5.19","27.3","9.4 m -   21 m","0"
"(2024 SY5)","2024-Oct-05 13:59 ±    00:03","0.01096","0.01090","6.02","5.98","28.1","6.4 m -   14 m","0"
"(2024 SZ1)","2024-Oct-05 19:11 ±    00:02","0.02817","0.02773","20.26","20.26","25.0","27 m -   60 m","0"
"(2014 VA)","2024-Oct-05 21:22 ± < 00:01","0.04636","0.04636","6.30","6.29","24.4","35 m -   78 m","0"
"(2024 SH3)","2024-Oct-05 22:37 ±    00:02","0.04867","0.04829","8.22","8.22","25.8","18 m -   41 m","0"
"(2022 SU21)","2024-Oct-06 05:04 ± 2_16:19","0.04488","0.00682","21.10","21.10","24.5","33 m -   74 m","0"
"(2024 SD6)","2024-Oct-06 16:39 ± < 00:01","0.01236","0.01231","6.78","6.75","27.5","8.2 m -   18 m","0"
"(2022 FC5)","2024-Oct-06 20:22 ± < 00:01","0.04152","0.04151","19.32","19.31","24.8","29 m -   66 m","0"
"671076 (2014 FP47)","2024-Oct-07 03:33 ± < 00:01","0.03281","0.03281","8.64","8.63","22.4","90 m -  200 m","1"
"(2024 SU3)","2024-Oct-07 03:33 ±    00:05","0.01445","0.01438","9.05","9.03","25.9","17 m -   39 m","0"
"(2024 SF5)","2024-Oct-07 07:49 ±    00:35","0.03923","0.03909","4.81","4.79","24.8","29 m -   64 m","0"
"(2016 JG38)","2024-Oct-08 15:12 ± < 00:01","0.03384","0.03383","11.97","11.97","24.0","42 m -   93 m","0"
"(2018 QE)","2024-Oct-09 04:03 ± 5_23:33","0.00447","0.00284","4.40","4.27","27.7","7.7 m -   17 m","0"
"(2024 SM)","2024-Oct-10 12:21 ±    00:03","0.01888","0.01875","6.67","6.65","25.4","22 m -   50 m","0"
"363027 (1998 ST27)","2024-Oct-12 01:52 ± < 00:01","0.02380","0.02380","16.63","16.62","19.6","0.578±0.228 km","2"
"(2008 UU95)","2024-Oct-12 11:25 ± < 00:01","0.03452","0.03452","15.61","15.60","23.6","50 m -  110 m","0"
"(2024 SM4)","2024-Oct-13 22:23 ±    00:33","0.04846","0.04791","13.81","13.81","23.8","45 m -  100 m","0"
"(2021 TK11)","2024-Oct-14 05:28 ± 2_12:07","0.02040","0.00505","10.58","10.57","28.6","5.2 m -   12 m","0"
"(2022 TB41)","2024-Oct-15 17:43 ± 3_20:02","0.02550","0.01957","6.04","6.02","29.8","3.0 m -  6.6 m","0"
"(2024 SD2)","2024-Oct-17 00:36 ±    00:08","0.02592","0.02570","6.11","6.09","25.6","20 m -   45 m","0"
"(2019 UH14)","2024-Oct-17 19:47 ±    09:01","0.02130","0.01986","10.40","10.39","23.8","46 m -  100 m","1"
"(2024 RV50)","2024-Oct-18 17:02 ±    00:03","0.04958","0.04957","15.57","15.57","21.1","160 m -  350 m","1"
"(2024 SH1)","2024-Oct-20 18:17 ±    00:22","0.01641","0.01631","2.68","2.61","27.0","11 m -   24 m","0"
"(2024 SE4)","2024-Oct-22 17:18 ±    04:03","0.01770","0.01750","2.22","2.15","27.7","7.5 m -   17 m","0"
