"Object designation","Close approach date in UTC","Miss distance in km","Miss distance in au","Miss distance in LD","Diameter in m","H in mag","Maximum
brightness in mag","Relative
velocity in km/s","CAI Index"
"2024SY4","2024-10-04 23:01","3744690","0.025032","9.742","7 - 17*","27.8","21.4","4.9","3.663"
"2024TJ","2024-10-04 20:15","1505748","0.010065","3.917","12 - 27*","26.7","19.2","12.3","2.716"
"2024TF","2024-10-04 18:37","300106","0.002006","0.781","4 - 9*","29.1","17.0","6.0","2.381"
"2024TW","2024-10-04 09:26","973693","0.006509","2.533","4 - 10*","28.9","19.5","10.7","3.623"
"2024SR1","2024-10-04 02:02","2180509","0.014576","5.673","10 - 21*","27.2","19.8","5.9","2.967"
"2024TM","2024-10-03 16:55","4712217","0.031499","12.259","12 - 27*","26.7","20.3","7.8","3.503"
"2024SD3","2024-10-03 15:48","1489248","0.009955","3.874","17 - 40*","26.0","18.8","18.3","2.357"
"2024TE","2024-10-03 12:58","1302573","0.008707","3.389","10 - 22*","27.2","18.4","5.8","2.474"
"2024SR4","2024-10-03 10:29","2684779","0.017947","6.984","13 - 28*","26.6","19.7","11.6","3.141"
"2024SS","2024-10-02 22:44","2192360","0.014655","5.703","19 - 40*","25.7","18.4","7.5","2.160"
"2024RJ16","2024-10-02 14:12","6964369","0.046554","18.118","18 - 40*","25.9","20.4","6.9","3.196"
"2024RO2","2024-10-02 06:17","1608029","0.010749","4.183","28 - 60*","24.9","17.0","9.2","1.427"
"2024TQ","2024-10-01 23:10","5986990","0.040021","15.575","22 - 50*","25.4","19.8","7.1","2.771"
"2024SH7","2024-10-01 20:36","3248084","0.021712","8.450","9 - 21*","27.3","19.4","10.8","3.684"
"2024TK1","2024-10-01 19:06","2105283","0.014073","5.477","20 - 50*","25.6","18.2","9.1","2.144"
"2024RH45","2024-10-01 16:52","1917919","0.012820","4.989","28 - 60*","24.9","17.5","8.2","1.536"
"2024RN15","2024-10-01 15:26","3208203","0.021446","8.346","23 - 50*","25.3","19.3","7.2","2.185"
"2024SJ1","2024-10-01 06:46","5821545","0.038915","15.145","13 - 29*","26.6","21.5","10.6","3.745"
"2024TJ1","2024-10-01 05:21","6824204","0.045617","17.753","27 - 60*","24.9","20.1","7.4","2.617"
"2024TX","2024-09-30 22:43","6233756","0.041670","16.217","26 - 60*","25.0","18.9","16.3","2.952"
"2024TT","2024-09-30 15:03","144761","0.000968","0.377","9 - 19*","27.5","15.1","7.4","0.954"
"2024TP1","2024-09-30 11:43","3825584","0.025572","9.952","9 - 21*","27.3","21.2","9.3","3.751"
"2024TG","2024-09-30 10:03","323811","0.002165","0.842","6 - 13*","28.3","17.3","10.8","2.368"
"2022VD2","2024-09-30 07:31","5158268","0.034481","13.419","19 - 40*","25.7","22.1","5.5","2.675"
"2024SC6","2024-09-30 06:09","729079","0.004874","1.897","9 - 20*","27.4","16.9","9.6","2.423"
"2024SX1","2024-09-30 03:10","6274453","0.041942","16.323","13 - 29*","26.5","21.4","5.1","3.342"
"2024SC","2024-09-30 03:04","1635741","0.010934","4.255","70 - 160*","22.8","18.7","18.0","0.567"
"2024TU","2024-09-30 00:09","3786260","0.025310","9.850","24 - 50*","25.2","19.3","11.6","2.547"
"2024SK","2024-09-29 23:46","2127350","0.014220","5.534","8 - 17*","27.7","19.6","4.4","3.054"
"2024SE2","2024-09-29 21:34","2419558","0.016174","6.294","11 - 24*","27.0","18.9","8.8","3.128"
"2024SU1","2024-09-29 16:36","1895567","0.012671","4.931","14 - 30*","26.5","18.3","17.3","2.853"
"2024SC3","2024-09-29 12:29","2258311","0.015096","5.875","14 - 30*","26.4","19.8","7.4","2.611"
"2024TB","2024-09-29 12:11","4620011","0.030883","12.019","15 - 30*","26.2","20.5","11.5","3.357"
"2024TA","2024-09-29 04:48","371605","0.002484","0.967","6 - 14*","28.1","17.8","6.0","2.010"
"2024ST1","2024-09-28 19:12","1507226","0.010075","3.921","9 - 19*","27.5","19.3","16.4","3.297"
