"Object designation","Close approach date in UTC","Miss distance in km","Miss distance in au","Miss distance in LD","Diameter in m","H in mag","Maximum
brightness in mag","Relative
velocity in km/s","CAI Index"
"2024RJ32","2024-10-05 03:16","2929180","0.019580","7.620","30 - 70*","24.6","16.4","6.6","1.575"
"2024SL3","2024-10-05 05:58","3125513","0.020893","8.131","15 - 30*","26.3","21.0","12.6","3.068"
"2023GM1","2024-10-05 11:43","5893117","0.039393","15.331","10 - 22*","27.2","23.4","5.2","3.722"
"2024SY5","2024-10-05 13:58","1639617","0.010960","4.265","7 - 15*","28.0","21.0","6.0","3.208"
"2018QE","2024-10-05 17:58","547428","0.003659","1.424","8 - 17*","27.7","19.2","4.3","1.890"
"2024SZ1","2024-10-05 19:10","4212376","0.028158","10.958","27 - 60*","24.9","19.4","20.3","2.602"
"2014VA","2024-10-05 21:21","6935485","0.046361","18.042","40 - 80*","24.4","19.7","6.3","2.124"
"2024SH3","2024-10-05 22:33","7258137","0.048518","18.882","18 - 40*","25.9","20.2","8.2","3.330"
"2024TD","2024-10-06 05:30","3717319","0.024849","9.670","11 - 26*","26.8","20.6","10.9","3.518"
"2024SD6","2024-10-06 16:38","1849363","0.012362","4.811","8 - 19*","27.5","19.4","6.8","3.094"
"2022FC5","2024-10-06 20:21","6210683","0.041516","16.157","30 - 70*","24.7","20.9","19.3","2.747"
"671076 2014FP47","2024-10-07 03:32","4908080","0.032808","12.768","90 - 200*","22.4","17.5","8.6","1.081"
"2024SU3","2024-10-07 03:34","2164177","0.014467","5.630","16 - 40*","26.0","18.4","9.1","2.457"
"2024TY","2024-10-07 04:55","675729","0.004517","1.758","17 - 40*","26.0","17.1","15.2","1.610"
"2024SF5","2024-10-07 07:50","5863558","0.039195","15.254","28 - 60*","24.9","18.7","4.8","2.145"
"2024SN8","2024-10-08 06:28","1239602","0.008286","3.225","18 - 40*","25.8","18.0","14.0","2.001"
"2016JG38","2024-10-08 15:11","5061694","0.033835","13.168","40 - 90*","24.0","19.2","12.0","1.983"
"2024SM","2024-10-10 12:20","2828397","0.018907","7.358","23 - 50*","25.3","18.4","6.7","2.030"
"2008FJ7","2024-10-11 15:54","2294411","0.015337","5.969","17 - 40*","26.0","20.3","7.6","2.378"
"2024TU1","2024-10-11 17:01","2306088","0.015415","5.999","17 - 40*","25.9","18.3","8.4","2.404"
"363027 1998ST27","2024-10-12 01:51","3561098","0.023804","9.264","400","19.7","13.0","16.6","0.279"
"2008UU95","2024-10-12 11:24","5164091","0.034520","13.434","50 - 110*","23.6","20.2","15.6","1.884"
"2016TP18","2024-10-12 18:52","4101882","0.027419","10.671","29 - 70*","24.8","19.1","21.4","2.465"
"2020YG2","2024-10-13 09:26","6761491","0.045198","17.590","30 - 70*","24.7","25.6","9.9","2.571"
"2024SM4","2024-10-13 22:21","7246340","0.048439","18.851","50 - 100*","23.8","19.6","13.8","2.236"
"2021TK11","2024-10-13 23:27","2823950","0.018877","7.346","5 - 11*","28.6","22.0","10.5","4.396"
"2019UM2","2024-10-15 13:60","4811373","0.032162","12.517","6 - 13*","28.4","22.2","4.0","4.099"
"2022TB41","2024-10-16 11:42","3988665","0.026663","10.376","3 - 7*","29.7","25.8","6.0","4.909"
"2024SD2","2024-10-17 00:35","3874955","0.025902","10.081","21 - 50*","25.5","19.5","6.1","2.394"
"2021UJ3","2024-10-17 14:59","3123755","0.020881","8.126","10 - 23*","27.0","21.1","12.7","3.568"
"2019UH14","2024-10-17 17:58","3113022","0.020809","8.098","50 - 110*","23.7","16.6","10.4","1.328"
"2024RV50","2024-10-18 17:01","7416970","0.049579","19.295","170 - 400*","21.0","18.4","15.6","1.290"
"2022UV21","2024-10-19 10:55","4506005","0.030121","11.722","12 - 27*","26.7","22.2","8.2","3.463"
"2024SH1","2024-10-20 18:15","2453227","0.016399","6.382","11 - 25*","26.9","22.1","2.7","2.255"
"2024SE4","2024-10-22 17:18","2647868","0.017700","6.888","8 - 17*","27.7","20.4","2.2","2.689"
"2015HM1","2024-10-24 02:31","5754782","0.038468","14.971","23 - 50*","25.3","22.0","10.9","2.923"
"363305 2002NV16","2024-10-24 15:46","4519153","0.030209","11.756","140 - 300*","21.3","17.5","4.9","0.340"
"2019UP8","2024-10-24 21:11","4656089","0.031124","12.113","10 - 22*","27.2","21.9","11.0","3.942"
"2021UE2","2024-10-24 22:26","5233552","0.034984","13.615","29 - 70*","24.8","20.2","7.1","2.261"
"2023TG14","2024-10-24 23:31","2520078","0.016846","6.556","19 - 40*","25.7","20.6","6.9","2.242"
"2013VX13","2024-10-25 02:36","5463962","0.036524","14.214","100 - 230*","22.1","18.1","18.0","1.380"
"2007UT3","2024-10-26 14:47","5482159","0.036646","14.262","16 - 30*","26.2","23.8","10.1","3.392"
"2020WG","2024-10-28 06:33","3325781","0.022231","8.652","120 - 280*","21.6","14.7","9.4","0.576"
"2009WD7","2024-10-28 18:52","2497824","0.016697","6.498","19 - 40*","25.8","19.3","8.6","2.375"
"2019AS2","2024-10-30 15:46","7286491","0.048707","18.956","40 - 80*","24.3","25.5","6.5","2.144"
"2011UD64","2024-10-31 11:18","4666994","0.031197","12.141","23 - 50*","25.3","19.8","9.7","2.703"
"2023KX3","2024-10-31 15:24","7205047","0.048163","18.744","19 - 40*","25.7","23.9","2.4","2.341"
"2022UD21","2024-11-01 01:22","4295240","0.028712","11.174","21 - 50*","25.5","18.8","11.7","2.822"
"2016VA","2024-11-02 00:26","210786","0.001409","0.548","8 - 18*","27.6","16.0","21.2","1.761"
"2021VB7","2024-11-02 20:23","2292818","0.015327","5.965","50 - 110*","23.7","16.2","22.2","1.277"
"2022UL1","2024-11-04 07:35","7332590","0.049015","19.075","23 - 50*","25.3","20.1","5.2","2.727"
"2023VS","2024-11-04 14:53","5796388","0.038746","15.079","3 - 7*","29.7","25.9","4.3","5.008"
"2003WE","2024-11-06 15:36","5473263","0.036587","14.238","30 - 70*","24.6","19.7","7.7","2.171"
"2020VE5","2024-11-07 05:53","4320300","0.028879","11.239","9 - 20*","27.4","21.1","5.6","3.625"
"2019WB7","2024-11-11 00:26","6555908","0.043824","17.055","30 - 70*","24.6","19.1","5.7","2.158"
"2020UL3","2024-11-12 12:26","1565732","0.010466","4.073","60 - 140*","23.2","16.0","10.5","0.494"
