"Peak Brightness Date/Time (UT)","Latitude (deg.)","Longitude (deg.)","Altitude (km)","Velocity (km/s)","vx","vy","vz","Total Radiated Energy (J)","Calculated Total Impact Energy (kt)"
"2024-09-28 00:10:19","59.8S","51.8W","34.2","15.0","8.5","4.1","11.6","10.8e10","0.32"
"2024-09-23 06:37:47","45.6S","31.9W","69.0","","","","","5.5e10","0.18"
"2024-09-06 12:36:22","12.9S","117.7E","27.0","22.6","21.4","-6.7","-2.5","2.1e10","0.076"
"2024-09-04 16:39:32","18.0N","122.9E","25.0","19.7","3.9","-19.1","2.6","6.2e10","0.2"
"2024-08-25 06:50:49","33.6S","24.5E","38.2","20.1","-5.5","17.9","7.4","2.6e10","0.092"
"2024-08-20 12:53:51","","","","","","","","6.0e10","0.19"
"2024-07-30 19:27:16","6.7S","124.4W","39.0","14.6","-2.0","14.3","-2.2","2.7e10","0.095"
"2024-07-20 14:08:10","73.7S","22.5E","38.8","30.8","28.1","-6.5","10.9","243.3e10","5.1"
"2024-07-13 03:10:41","7.4S","41.0W","32.0","","","","","59e10","1.5"
"2024-07-12 00:09:35","2.6N","46.6E","41.5","22.4","-8.4","-1.8","-20.7","8.5e10","0.26"
"2024-06-28 16:05:19","55.1N","140.6E","29.2","15.3","0.6","-15.1","-2.2","3.8e10","0.13"
"2024-06-18 21:01:32","32.2N","31.8W","28.7","16.2","1.8","14.7","-6.6","2.2e10","0.079"
"2024-06-18 13:51:19","44.3N","173.2E","44.3","35.4","-0.7","15.0","-32.1","49.1e10","1.2"
"2024-06-03 01:13:51","63.1S","53.2W","60.0","","","","","2.6e10","0.092"
"2024-06-01 23:24:59","1.0S","15.9W","26.5","12.6","-11.9","2.1","-3.7","7.9e10","0.25"
"2024-05-27 03:19:36","1.7N","39.4W","56.0","39.2","-33.2","18.4","9.7","8.4e10","0.26"
"2024-05-24 16:19:59","6.6N","114.2E","42.0","36.5","26.5","-23.8","8.1","5.4e10","0.18"
"2024-05-18 22:46:50","41.0N","8.8W","74.3","40.4","-26.5","-24.1","18.7","3.7e10","0.13"
"2024-05-15 12:48:28","49.8N","54.1W","64.2","","","","","2.8e10","0.098"
"2024-05-05 20:11:03","7.1S","112.7W","39.0","13.9","8.4","11.0","-0.7","3.7e10","0.13"
"2024-04-09 04:47:44","36.5N","37.8W","36.3","","","","","3.3e10","0.11"
"2024-03-17 06:17:58","27.6N","117.2E","42.1","25.6","1.0","-25.1","4.9","3.7e10","0.13"
"2024-02-26 11:21:01","22.9N","57.1E","33.1","31.3","-29.3","5.1","9.7","3.7e10","0.13"
"2024-02-05 00:32:54","13.8S","123.7E","23.0","14.4","14.1","-2.7","1.6","4.6e10","0.15"
"2023-12-30 21:04:34","63.4S","79.9E","37.0","28.3","20.7","14.6","12.7","21.7e10","0.6"
"2023-12-11 08:32:58","53.6S","146.0E","31.7","26.0","-13.7","-16.7","14.5","12.2e10","0.36"
"2023-12-05 23:10:11","10.0N","42.9E","24.1","20.6","-18.5","-1.8","-8.9","2.1e10","0.076"
"2023-11-21 22:17:29","9.4S","17.4E","37.0","18.3","-17.9","-3.9","0.1","3.8e10","0.13"
"2023-10-30 07:22:56","42.9S","44.7W","33.8","17.6","2.8","12.7","11.9","2.6e10","0.092"
"2023-10-26 08:58:25","45.9N","174.8W","44.2","30.2","15.5","24.9","-7.0","29.1e10","0.78"
"2023-10-23 02:51:27","49.6S","75.4E","39.0","","","","","5.4e10","0.18"
"2023-10-16 17:14:52","6.5S","65.4W","35.3","19.8","-12.2","14.9","-4.8","3.0e10","0.1"
"2023-10-14 22:55:26","8.4S","161.9W","37.0","19.3","19.3","-0.4","-1.3","5.4e10","0.18"
"2023-09-28 20:32:35","13.2N","72.4E","37.0","","","","","5.0e10","0.16"
"2023-09-07 15:34:46","27.0N","150.8E","","","","","","2.1e10","0.076"
"2023-09-03 04:28:01","43.2S","102.2E","37.0","","","","","2.3e10","0.082"
"2023-08-17 05:57:38","48.6N","100.1E","35.4","16.1","6.4","-12.5","-7.8","8.1e10","0.25"
"2023-08-05 19:54:50","19.9N","131.7W","44.0","21.8","3.3","20.4","-6.8","171.9e10","3.8"
"2023-07-26 03:41:54","18.9N","103.4W","36.1","15.6","-9.5","12.2","1.9","15.1e10","0.44"
"2023-07-07 16:15:31","14.5N","126.6W","38.3","25.7","2.6","4.1","-25.2","2.6e10","0.092"
"2023-07-06 05:52:31","59.3S","145.4W","71.0","","","","","3.0e10","0.1"
"2023-06-21 19:39:13","12.4N","62.8E","40.4","16.5","7.3","-2.0","-16.4","54.3e10","1.4"
"2023-05-20 11:22:23","17.8S","141.9E","29.0","27.9","25.4","6.9","9.3","358.4e10","7.2"
"2023-04-26 13:14:59","47.0N","10.7W","29.6","16.2","-15.6","-3.8","-1.8","2.4e10","0.086"
"2023-04-15 08:22:01","20.1S","36.0E","41.4","17.2","1.6","-14.7","8.8","309.7e10","6.3"
"2023-04-06 14:47:39","57.4N","109.9E","31.2","22.1","8.6","3.6","-20.0","7.2e10","0.23"
